"wave","EIrrad"
1168,0.52482515529945
1169,0.505364783466615
1170,0.519008913650326
1171,0.520841963995347
1172,0.520070366836798
1173,0.514654645796957
1174,0.516883180634512
1175,0.506495816786466
1176,0.498145654597841
1177,0.511576306573978
1178,0.509117441175333
1179,0.50286590229598
1180,0.511385024526897
1181,0.512565360418513
1182,0.510256782402932
1183,0.467154703588514
1184,0.498716549303776
1185,0.504961049546398
1186,0.505624314616936
1187,0.504851350218626
1188,0.501398195556185
1189,0.473297985051245
1190,0.494197580196052
1191,0.500839632295395
1192,0.500334133832219
1193,0.498118784838466
1194,0.498264493087092
1195,0.492251821862042
1196,0.490308829693211
1197,0.491437697178919
1198,0.485025319495915
1199,0.462371802896068
1200,0.493176931523249
1201,0.490186469865378
1202,0.491917278384731
1203,0.483159372624813
1204,0.483747744128086
1205,0.487895715074466
1206,0.483314866018535
1207,0.486999532976176
1208,0.479178409227894
1209,0.454769005339056
1210,0.481424985400087
1211,0.469459001035372
1212,0.479937320022603
1213,0.481024433749878
1214,0.47876627594114
1215,0.480021322576476
1216,0.478923116064263
1217,0.478002937092431
1218,0.47606382195097
1219,0.473756147383537
1220,0.475163031344698
1221,0.473997529513533
1222,0.472385635435384
1223,0.467964408847126
1224,0.472988268062482
1225,0.469200496158574
1226,0.471913963022438
1227,0.464663643132992
1228,0.470004243871069
1229,0.467991326860719
1230,0.46609500719032
1231,0.466023518932627
1232,0.459987646709829
1233,0.464138186355677
1234,0.46305841480181
1235,0.460550074256083
1236,0.462038987935017
1237,0.460984965907664
1238,0.46097464811357
1239,0.455055545280083
1240,0.452034530950036
1241,0.457997006152901
1242,0.455036795599328
1243,0.449821672153778
1244,0.448725419338256
1245,0.455192797801911
1246,0.450989842748228
1247,0.449622862772861
1248,0.452902835089254
1249,0.452009186821666
1250,0.45
1251,0.448852047628838
1252,0.445418741031798
1253,0.447481772619362
1254,0.444798122716233
1255,0.444193115865882
1256,0.443892262237939
1257,0.440373211493075
1258,0.444127646167995
1259,0.440259955521066
1260,0.442706287944087
