"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
8.33873e-05,0.00243814,9.10976e-06,5.98258e-05,0.578804,0.212883,0.216302,0.299075,0.00811997,0.0102262,0.816125,0.982198,0.329724,0.000126173,0.0817568,0.000107456,0.000885265,5.18136e-05,2.56442e-05,1.81281e-05
6.40556e-05,0.00243814,3.14757e-06,5.81299e-05,0.430299,0.092485,0.320583,0.536146,0.020514,0.0179884,0.730804,0.970375,0.517874,0.000133828,0.0280225,0.000173567,0.000410553,4.97817e-05,5.21843e-05,5.67418e-06
6.40556e-05,0.0012785,4.35922e-06,4.16869e-05,0.430299,0.0417258,0.440943,0.781357,0.0466882,0.0313845,0.546438,0.956187,0.686537,0.000126662,0.00990879,0.0034917,0.000293228,3.75903e-05,1.39113e-05,3.77534e-06
7.5016e-05,0.000563201,1.32974e-05,4.46432e-05,0.261534,0.0188261,0.57562,0.932649,0.0968849,0.0492473,0.383817,0.93942,0.899397,0.000125987,0.00405509,0.000400757,0.000261866,3.75903e-05,8.68017e-05,8.32951e-06
0.000140615,0.000563201,1.18971e-05,4.93176e-05,0.1125,0.00845815,0.705557,0.978567,0.176443,0.0744332,0.164949,0.921351,0.950015,0.000116314,0.00177973,0.000450067,8.1557e-05,2.84467e-05,0.000114069,7.26908e-06
0.00012274,0.000237655,5.14438e-06,4.63988e-05,0.1125,0.00379639,0.821097,0.991874,0.283054,0.119953,0.0879277,0.905835,0.961036,0.000166573,0.000796375,0.000578236,5.01162e-05,2.03191e-05,0.000100315,8.23697e-06
0.000141267,0.000237655,1.61149e-06,4.15514e-05,0.0421549,0.00170488,0.908016,1,0.40788,0.210168,0.0310486,0.889476,0.951878,0.000183067,0.000407501,0.000253771,2.81249e-05,1.82872e-05,7.41163e-05,1.20003e-05
0.000200312,0.00118021,2.54259e-06,3.95591e-05,0.0168964,0.000776378,0.965926,0.995018,0.5397,0.365959,0.0157825,0.872202,0.941617,0.000164856,0.000175489,0.000128761,3.969e-06,3.25105e-05,5.80397e-05,2.0834e-05
0.000287303,0.000827893,3.80903e-06,4.55797e-05,0.00817022,0.000335113,0.993946,0.985953,0.671584,0.557468,0.00466254,0.853937,0.947638,0.000144955,0.000115072,1.31961e-05,2.01032e-06,2.2351e-05,3.8946e-05,1.00825e-05
0.000385956,0.000800978,1.89505e-06,4.67097e-05,0.00817022,0.000145035,1,0.984673,0.795694,0.710465,0.00226284,0.83334,0.972597,0.000166567,0.000122163,8.59159e-06,6.61835e-06,3.04786e-05,5.27807e-05,1.39231e-05
0.000610857,0.00108695,2.33586e-06,4.26263e-05,0.00411615,0.000175852,0.992554,0.983359,0.895987,0.790124,0.00084344,0.807812,0.992119,0.000258259,6.87787e-05,1.07336e-05,8.54635e-06,3.45424e-05,1.90018e-05,1.85868e-05
0.000813985,0.000342902,2.88865e-06,4.08986e-05,0.00207049,7.5253e-05,0.984748,0.896885,0.96191,0.834156,0.000467935,0.776959,1,0.00033333,7.78213e-05,9.79614e-06,1.04091e-05,3.55584e-05,2.36554e-05,1.59981e-05
0.000855205,7.43807e-05,1.41678e-06,3.73068e-05,0.00207049,7.88747e-05,0.971232,0.657037,0.99259,0.874839,0.000182585,0.740407,0.982019,0.000385951,8.08479e-05,1.56074e-05,3.80476e-05,7.31487e-05,3.61208e-05,1.71758e-05
