"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
3.13658688355645e-06,5.39333632332273e-06,2.18098080040363e-06,5.63018829780049e-07,6.91174250277982e-07,5.296045628711e-07,1.39207595566404e-05,4.17787705373485e-05,3.18139041155519e-06,3.5438638406049e-06,2.11574060813291e-05,6.44069878035225e-05,0.00622916501015425,1.15236016426934e-05,9.87212115433067e-06,8.60651198308915e-06,7.98367364041042e-06,7.81697417551186e-06,6.96174402037286e-06,6.15421095062629e-06,3.18296224577352e-06
4.8286219680449e-06,8.79567323863739e-06,3.40848032465146e-06,7.81044434461364e-07,9.88968054116413e-07,7.3474376449667e-07,2.55474551522639e-05,8.44282258185558e-05,5.31774094270077e-06,5.88873854212579e-06,3.55052870872896e-05,0.000124490339658223,0.0127402236685157,1.79270755324978e-05,1.55628458742285e-05,1.3717561159865e-05,1.27524117488065e-05,1.25306542031467e-05,1.1190151781193e-05,9.94915262708673e-06,4.89302237838274e-06
7.38021435608971e-06,1.42073376991902e-05,5.28683131051366e-06,1.0795296248034e-06,1.40877466492384e-06,1.01562568488589e-06,4.61344097857364e-05,0.000166525263921358,8.79347953741672e-06,9.68060521699954e-06,5.88088296353817e-05,0.000235052866628394,0.0250729378312826,2.76512600976275e-05,2.43163649429334e-05,2.16650223592296e-05,2.01848197320942e-05,1.99035930563696e-05,1.78218997461954e-05,1.59355568030151e-05,7.46854220778914e-06
1.11997424028232e-05,2.27300588448998e-05,8.138845259964e-06,1.48662536503252e-06,1.9978776890639e-06,1.39876567573083e-06,8.19802298792638e-05,0.000320670515066013,1.43863198900362e-05,1.57454232976306e-05,9.61586920311675e-05,0.000433774490375072,0.04766546189785,4.22902558057103e-05,3.76602620235644e-05,3.39088473992888e-05,3.16619007207919e-05,3.13287382596172e-05,2.81251905107638e-05,2.52889840339776e-05,1.13192281787633e-05
1.68749247677624e-05,3.60200356226414e-05,1.243567749043e-05,2.03975559998071e-06,2.82076348412375e-06,1.91943217942026e-06,0.000143357261549681,0.000603035325184465,2.32878683164017e-05,2.53402267844649e-05,0.000155243047629483,0.000782897463068366,0.0873241573572159,6.41397491563112e-05,5.7821067457553e-05,5.25986470165663e-05,4.92225517518818e-05,4.88696132379118e-05,4.39826799265575e-05,3.97644726035651e-05,1.70344592334004e-05
2.52455774898408e-05,5.65401242056396e-05,1.88591657206416e-05,2.78847210211097e-06,3.9649539758102e-06,2.62433059106115e-06,0.000246705923927948,0.0011077206581831,3.73024377040565e-05,4.03563790314365e-05,0.000247511256020516,0.00138288759626448,0.152704209089279,9.64758946793154e-05,8.80140942172147e-05,8.086900197668e-05,7.58477399358526e-05,7.55521177779883e-05,6.81608653394505e-05,6.19549682596698e-05,2.54554233833915e-05
3.75015442841686e-05,8.7912987510208e-05,2.83875815512147e-05,3.79811717721168e-06,5.54863800061867e-06,3.57505905412836e-06,0.000417844712501392,0.00198786007240415,5.91303360124584e-05,6.360648694681e-05,0.000389781635021791,0.00239221937954426,0.251335203647614,0.0001439329207642,0.000132838846184313,0.000123244855785742,0.00011585142055992,0.000115769529656973,0.000104682279925328,9.56509466050193e-05,3.77732103515882e-05
5.5314929340966e-05,0.000135408219648525,4.24126883444842e-05,5.15448164151167e-06,7.73056490288582e-06,4.85255168314325e-06,0.000696544477250427,0.00348517135716975,9.27672808757052e-05,9.92262721410953e-05,0.000606408691965044,0.00405509397387505,0.38390064239502,0.000213009494473226,0.000198813970200717,0.000186193676199764,0.000175416120328009,0.000175833585672081,0.000159337490913458,0.000146336227771826,5.5660777434241e-05
8.10172277851962e-05,0.000206607903237455,6.28972993581556e-05,6.96977076586336e-06,1.07230880530551e-05,6.56264364806702e-06,0.00114286842290312,0.0059689162299037,0.000144056335557252,0.000153228058479726,0.000932143884710968,0.00673857191577554,0.538669168949127,0.000312737567583099,0.000295092118903995,0.000278866005828604,0.000263309775618836,0.000264718575635925,0.000240370238316245,0.000221857684664428,8.14487066236325e-05
0.000117831768875476,0.000312298448989168,9.25861895666458e-05,9.39012443268439e-06,1.48085582623025e-05,8.84326254890766e-06,0.00184567994438112,0.00998330395668745,0.000221446200157516,0.000234256629482843,0.00141583976801485,0.0109789147973061,0.691822230815888,0.00045556333498098,0.000434396206401289,0.000414073350839317,0.000391838839277625,0.000395050359657034,0.000359396624844521,0.000333326228428632,0.000118358591862489
