"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660420120034e-310,0.987690608,6.91660420121615e-310,6.91660420122405e-310,6.91660420123196e-310,6.91660420123987e-310,6.91660420124777e-310,0.62865391,6.91660420126358e-310,6.91660420127149e-310,6.91660420127939e-310,0.972382602,0.952721089
6.91660420090311e-310,0.996791216,6.91660420091892e-310,6.91660420092683e-310,6.91660420093473e-310,6.91660420094264e-310,6.91660420095054e-310,0.614005803,6.91660420096635e-310,6.91660420097426e-310,6.91660420098216e-310,0.975244492,0.952552047
6.91660420100588e-310,0.993851876,6.91660420102169e-310,6.91660420102959e-310,6.9166042010375e-310,6.9166042010454e-310,6.91660420105331e-310,0.603233252,6.91660420106912e-310,6.91660420107702e-310,6.91660420108493e-310,0.978552743,0.952417855
6.91660420475603e-310,0.9816383,6.91660420477184e-310,6.91660420477975e-310,6.91660420478765e-310,6.91660420479556e-310,6.91660420480346e-310,0.594982815,6.91660420481927e-310,6.91660420482718e-310,6.91660420483508e-310,0.982971465,0.952654092
6.9166042048588e-310,0.958970396,6.91660420487461e-310,6.91660420488251e-310,6.91660420489042e-310,6.91660420489832e-310,6.91660420490623e-310,0.588091928,6.91660420492204e-310,6.91660420492994e-310,6.91660420493785e-310,0.98808508,0.95296197
6.91660420496631e-310,0.893259218,6.91660420498212e-310,6.91660420499002e-310,6.91660420499793e-310,6.91660420500583e-310,6.91660420501374e-310,0.585186507,6.91660420502955e-310,6.91660420503745e-310,6.91660420504536e-310,0.992662671,0.95331832
6.91660420506907e-310,0.736063596,6.91660420508488e-310,6.91660420509279e-310,6.91660420510069e-310,6.9166042051086e-310,6.9166042051165e-310,0.582889219,6.91660420513231e-310,6.91660420514022e-310,6.91660420515286e-310,0.996435703,0.953779111
6.91660420517658e-310,0.52101528,6.91660420519239e-310,6.9166042052003e-310,6.9166042052082e-310,6.91660420521611e-310,6.91660420522401e-310,0.581493721,6.91660420523982e-310,6.91660420524773e-310,6.91660420525563e-310,0.99906056,0.954291677
6.91660420527935e-310,0.332578748,6.91660420529516e-310,6.91660420530306e-310,6.91660420531097e-310,6.91660420531887e-310,6.91660420532678e-310,0.580137218,6.91660420534259e-310,6.91660420535523e-310,6.91660420536314e-310,1,0.954837035
6.91660420538685e-310,0.195080476,6.91660420540266e-310,6.91660420541057e-310,6.91660420541847e-310,6.91660420542638e-310,6.91660420543428e-310,0.574804624,6.91660420545009e-310,6.916604205458e-310,6.9166042054659e-310,0.999036445,0.955539257
