"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
6.91660421637804e-310,0.9606702781,6.91660421639385e-310,6.91660421640175e-310,6.91660421640966e-310,6.91660421641756e-310,6.91660421642547e-310,0.7226239949,6.91660421644128e-310,6.91660421644918e-310,6.91660421645709e-310,0.969828489,0.896696495
6.91660421648555e-310,0.9916369946,6.91660421650136e-310,6.91660421650926e-310,6.91660421651717e-310,6.91660421652507e-310,6.91660421653298e-310,0.7041257822,6.91660421654879e-310,6.91660421655669e-310,6.9166042165646e-310,0.967709002,0.899896619
6.91660421658831e-310,1,6.91660421660412e-310,6.91660421661203e-310,6.91660421661993e-310,6.91660421662784e-310,6.91660421663574e-310,0.6841080456,6.91660421665155e-310,6.91660421665946e-310,6.91660421666736e-310,0.966371474,0.902596288
6.91660421669582e-310,0.9835609696,6.91660421671163e-310,6.91660421671953e-310,6.91660421672744e-310,6.91660421673534e-310,6.91660421674325e-310,0.6647452774,6.91660421675906e-310,6.91660421676696e-310,6.91660421677487e-310,0.965848924,0.90483074
6.91660421679859e-310,0.9113076302,6.9166042168144e-310,6.9166042168223e-310,6.91660421683021e-310,6.91660421683811e-310,6.91660421684602e-310,0.6473689083,6.91660421686183e-310,6.91660421686973e-310,6.91660421687764e-310,0.966050474,0.905524618
6.91660421690609e-310,0.7401825565,6.9166042169219e-310,6.91660421692981e-310,6.91660421693771e-310,6.91660421694562e-310,6.91660421695352e-310,0.6300512475,6.91660421696933e-310,6.91660421697724e-310,6.91660421698514e-310,0.967426617,0.905665281
6.91660421700886e-310,0.5039585761,6.91660421702467e-310,6.91660421703257e-310,6.91660421704048e-310,6.91660421704838e-310,6.91660421705629e-310,0.6156422237,6.9166042170721e-310,6.91660421708e-310,6.91660421709265e-310,0.969869577,0.905502587
6.91660421711637e-310,0.3050155019,6.91660421713218e-310,6.91660421714008e-310,6.91660421714799e-310,6.91660421715589e-310,6.9166042171638e-310,0.6024955665,6.91660421717961e-310,6.91660421718751e-310,6.91660421719542e-310,0.973463419,0.905157893
6.91660421721913e-310,0.1800460451,6.91660421723494e-310,6.91660421724285e-310,6.91660421725075e-310,6.91660421725866e-310,6.91660421726656e-310,0.5898899213,6.91660421728237e-310,6.91660421729502e-310,6.91660421730293e-310,0.97868284,0.904782854
6.91660421732664e-310,0.107383424,6.91660421734245e-310,6.91660421735036e-310,6.91660421735826e-310,6.91660421736617e-310,6.91660421737407e-310,0.5799339948,6.91660421738988e-310,6.91660421739779e-310,6.91660421740569e-310,0.983472137,0.90408183
6.91660421742941e-310,0.0659359205,6.91660421744522e-310,6.91660421745312e-310,6.91660421746103e-310,6.91660421746893e-310,6.91660421747684e-310,0.5713650578,6.91660421749739e-310,6.9166042175053e-310,6.9166042175132e-310,0.987635453,0.903347495
6.91660421753692e-310,0.042077455,6.91660421755273e-310,6.91660421756063e-310,6.91660421756854e-310,6.91660421757644e-310,6.91660421758435e-310,0.5609424153,6.91660421760016e-310,6.91660421760806e-310,6.91660421761597e-310,0.991875079,0.902760831
6.91660421763968e-310,0.0266212882,6.91660421765549e-310,6.9166042176634e-310,6.9166042176713e-310,6.91660421767921e-310,6.91660421768711e-310,0.5523510523,6.91660421770767e-310,6.91660421771557e-310,6.91660421772348e-310,0.995476405,0.902377006
