"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20","band21"
0.118054986000061,0.357859283685684,0.113890148699284,0.00268907728604972,0.0077904830686748,0.00267174281179905,0.909870386123657,0.999742090702057,0.364359200000763,0.365557014942169,0.433661639690399,0.998938083648682,0.890685260295868,0.327215611934662,0.354799449443817,0.358053982257843,0.353240966796875,0.362946838140488,0.34760645031929,0.351109325885773,0.116696909070015
0.143747046589851,0.413296431303024,0.139404624700546,0.00342189520597458,0.0099194860085845,0.00339943473227322,0.933190703392029,0.998843669891357,0.421093970537186,0.422391682863236,0.450759768486023,0.996366083621979,0.88953298330307,0.382916063070297,0.409612119197845,0.409895777702332,0.404049128293991,0.415111184120178,0.39968678355217,0.404717743396759,0.142036274075508
0.173135668039322,0.470709830522537,0.168737083673477,0.00433373264968395,0.0125529393553734,0.00430487096309662,0.950723707675934,0.997230350971222,0.479875147342682,0.481251388788223,0.464927941560745,0.993132710456848,0.886043787002564,0.441366910934448,0.466521114110947,0.463403880596161,0.456481099128723,0.468900799751282,0.453659296035767,0.460254430770874,0.171015411615372
0.206275537610054,0.528848648071289,0.201969429850578,0.0054622613824904,0.0157875120639801,0.00542544852942228,0.963952302932739,0.99586683511734,0.539410352706909,0.540842294692993,0.477102667093277,0.990215420722961,0.877256870269775,0.501252233982086,0.524344921112061,0.517546892166138,0.509541630744934,0.52328234910965,0.508461236953735,0.516563177108765,0.20369216799736
0.24310727417469,0.586378753185272,0.23906309902668,0.00685137184336782,0.0197317562997341,0.00680474517866969,0.974093973636627,0.995413720607758,0.598320662975311,0.599781572818756,0.488050997257233,0.988261461257935,0.867289245128632,0.561117947101593,0.581812560558319,0.571235358715057,0.562180161476135,0.577169418334961,0.562961757183075,0.5724156498909,0.240009784698486
0.283438116312027,0.641977488994598,0.279838591814041,0.00855186395347118,0.0245065558701754,0.00849325489252806,0.9819695353508,0.995974600315094,0.655227780342102,0.656689643859863,0.498264491558075,0.987342655658722,0.861821591854096,0.619446277618408,0.637644767761231,0.623389720916748,0.613355875015259,0.629485785961151,0.616019725799561,0.626578867435455,0.279783219099045
0.326936930418015,0.694422662258148,0.323966473340988,0.0106219481676817,0.0302441790699959,0.0105487611144781,0.9880051612854,0.997099339962006,0.708864271640778,0.710298955440521,0.507911562919617,0.986942052841187,0.860527336597443,0.674781262874603,0.69064474105835,0.673010885715485,0.662104547023773,0.67923903465271,0.666572570800781,0.677916765213013,0.322691380977631
0.373130172491074,0.742688596248627,0.370967239141464,0.0131277125328779,0.0370872803032398,0.0130369970574975,0.992335975170136,0.998000502586365,0.758160352706909,0.759545981884003,0.516905426979065,0.986269474029541,0.857529819011688,0.725842356681824,0.739788889884949,0.719242036342621,0.70759904384613,0.725582182407379,0.713704407215118,0.725459575653076,0.368274539709091
0.421414405107498,0.786017656326294,0.420213758945465,0.0161435250192881,0.0451868325471878,0.0160318575799465,0.995009064674377,0.998005330562592,0.80232560634613,0.803642451763153,0.525041460990906,0.984655916690826,0.849254667758942,0.771667420864105,0.784285664558411,0.761422991752625,0.749196648597717,0.767864286899567,0.756699562072754,0.768476903438568,0.415947169065475
0.471072196960449,0.82396787405014,0.470955967903137,0.0197522640228272,0.0546999461948872,0.0196157284080982,0.996137261390686,0.99689519405365,0.840895116329193,0.842126965522766,0.532170176506043,0.981907308101654,0.839177072048187,0.811652481555939,0.823633313179016,0.79912656545639,0.786475479602814,0.805660903453827,0.795086860656738,0.806517243385315,0.46500951051712
0.521304190158844,0.856424510478973,0.522343993186951,0.0240452010184526,0.0657860711216927,0.0238793715834618,0.996018290519714,0.994989514350891,0.873744666576386,0.874882936477661,0.538334667682648,0.978393495082855,0.833162665367127,0.845588028430939,0.85764080286026,0.832159519195557,0.819241523742676,0.838790476322174,0.828656554222107,0.83942186832428,0.514681577682495
0.571261346340179,0.883575022220612,0.57348507642746,0.0291217062622309,0.07860317081213,0.0289217885583639,0.995134949684143,0.993019759654999,0.901072144508362,0.902111887931824,0.543827056884766,0.974873006343842,0.831656754016876,0.873646318912506,0.886399149894714,0.860562324523926,0.847521364688873,0.867292046546936,0.857445955276489,0.867302775382996,0.564134836196899
0.620091676712036,0.905864059925079,0.623461902141571,0.035088736563921,0.0933031216263771,0.0348493494093418,0.994070112705231,0.991747081279755,0.923336386680603,0.924277007579804,0.549105823040009,0.972103893756867,0.829103946685791,0.896331489086151,0.910252034664154,0.884575963020325,0.87153160572052,0.891407489776611,0.881703197956085,0.890511751174927,0.612537145614624
0.666986584663391,0.923904597759247,0.671408534049988,0.042059950530529,0.110024653375149,0.0417751967906952,0.993372678756714,0.99157840013504,0.941175699234009,0.942021071910858,0.554659187793732,0.970465421676636,0.82137531042099,0.914374887943268,0.929724514484406,0.904582440853119,0.891631543636322,0.911519885063171,0.901845872402191,0.909565150737763,0.659091472625732
0.71122008562088,0.938399851322174,0.716550707817078,0.0501538552343845,0.128889083862305,0.0498175323009491,0.993388652801514,0.99236136674881,0.955329298973084,0.956079304218292,0.560880303382874,0.969762921333313,0.811257481575012,0.928650438785553,0.945450007915497,0.921064078807831,0.908266425132752,0.928100824356079,0.918384313583374,0.925063371658325,0.703084886074066
0.752193152904511,0.950043678283691,0.758243441581726,0.0594930499792099,0.149992674589157,0.0590984113514423,0.994172751903534,0.993465900421143,0.966522395610809,0.967182159423828,0.567915439605713,0.969332635402679,0.804714977741242,0.940024375915527,0.958076477050781,0.934528231620789,0.921927571296692,0.941660404205322,0.931866049766541,0.93763142824173,0.743925094604492
0.789460957050324,0.959454417228699,0.796018183231354,0.070200577378273,0.173398986458778,0.0697407424449921,0.995490789413452,0.99410218000412,0.975398361682892,0.975974440574646,0.575624823570252,0.96837443113327,0.802934229373932,0.949251294136047,0.968208491802216,0.945470809936523,0.933083415031433,0.952680468559265,0.942815363407135,0.947833478450775,0.781167149543762
0.822755336761475,0.967126488685608,0.829592525959015,0.0823983103036881,0.199134334921837,0.0818662494421005,0.996906280517578,0.993708968162537,0.982483983039856,0.982972681522369,0.583624064922333,0.966358006000519,0.800764203071594,0.956913113594055,0.976357161998749,0.954323470592499,0.942155241966248,0.96159839630127,0.951693832874298,0.956139504909515,0.814536452293396
0.851981043815613,0.973405182361603,0.858881175518036,0.0962033793330193,0.227181479334831,0.0955919846892357,0.997938752174377,0.992259740829468,0.988133013248444,0.988536655902863,0.591430485248566,0.963297367095947,0.793602585792542,0.963393807411194,0.982906222343445,0.961454272270203,0.94949746131897,0.968766629695892,0.958859264850617,0.962909460067749,0.843927800655365
0.877217888832092,0.978492677211762,0.883987724781036,0.111724987626076,0.257475018501282,0.111027255654335,0.998237550258637,0.990244805812836,0.992571413516998,0.99288934469223,0.598637998104096,0.959718763828278,0.783522605895996,0.968881368637085,0.988124907016754,0.967134952545166,0.955385565757752,0.974471867084503,0.96460348367691,0.968378901481628,0.869407117366791
0.898692131042481,0.982495665550232,0.905173361301422,0.129060059785843,0.289897203445435,0.128269106149673,0.997704744338989,0.988450109958649,0.995904624462128,0.996127068996429,0.605075299739838,0.956420302391052,0.776483297348023,0.973415315151215,0.992171823978424,0.971578001976013,0.960030257701874,0.978922009468079,0.9691162109375,0.972699284553528,0.891180396080017
0.916739344596863,0.98546177148819,0.922823905944824,0.148289069533348,0.324275463819504,0.147398710250855,0.996536135673523,0.987542688846588,0.998181045055389,0.998313724994659,0.610826075077057,0.954057037830353,0.774371981620789,0.976945698261261,0.995144367218018,0.974949419498444,0.963608622550964,0.982286393642426,0.972546339035034,0.975968420505524,0.909562349319458
0.931768834590912,0.987428188323975,0.937399089336395,0.169472858309746,0.360385030508041,0.168478086590767,0.995134472846985,0.987744748592377,0.999450862407684,0.999487042427063,0.616246640682221,0.952802538871765,0.772514045238495,0.979418098926544,0.997149229049683,0.977378726005554,0.966256260871887,0.984695732593536,0.975021898746491,0.978269279003143,0.92494934797287
0.944225072860718,0.988487720489502,0.949393808841705,0.192647561430931,0.397942930459976,0.191544100642204,0.993995904922485,0.988718986511231,0.999783396720886,0.99972265958786,0.621829271316528,0.952281177043915,0.765932500362396,0.98084419965744,0.998265266418457,0.979006111621857,0.968113005161285,0.986309289932251,0.976665079593658,0.979717612266541,0.937763154506683
0.954537391662598,0.988781869411469,0.959279179573059,0.217822104692459,0.436629891395569,0.216605752706528,0.993519902229309,0.989738047122955,0.999333560466766,0.999185562133789,0.628030836582184,0.951742231845856,0.755967438220978,0.981329381465912,0.998643815517426,0.979987621307373,0.969340860843658,0.987276673316956,0.977632403373718,0.980449199676514,0.948427736759186
0.963109910488129,0.988521158695221,0.967479586601257,0.24497164785862,0.4760782122612,0.243640586733818,0.993877828121185,0.990051209926605,0.998322188854218,0.998085141181946,0.635100364685059,0.950448036193848,0.748466372489929,0.981099963188171,0.998474299907684,0.980488657951355,0.970094740390778,0.987758994102478,0.978088021278381,0.980672955513001,0.957321524620056
0.970257759094238,0.987974941730499,0.974337577819824,0.274038165807724,0.515893459320068,0.272593289613724,0.994942128658295,0.989262223243713,0.996999382972717,0.996691346168518,0.642989695072174,0.948051750659943,0.745972037315369,0.980463445186615,0.997975170612335,0.980698883533478,0.970556735992432,0.987960517406464,0.978241205215454,0.98060804605484,0.964768946170807
